yearMonth;CompanyCode;CompanyName;Country;Operation;EventType;DeviceCategory;SearchTerm;ContentType;ContentTitleEN;downloadLanguage;Theme;Route;UserType;uniqueUsers;FileName;PipelineRunID;DateRange;ImportDate;CreatedBy;DataSource
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"partner";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"relationship";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"r";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"n/a";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"stress";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"s";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"stres";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Malaysia";"Lyra Health International Ltd";"search";"Desktop";"child";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"search";"Desktop";"Year";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"search";"Desktop";"Diabetic";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
