Date;CompanyCode;CompanyName;Country;Operation;Sessions;UniqueUsers;DateRange
2026-07-01 00:00:00.000;ABPUK;ABP - UK;United Kingdom;Lyra UK & Ireland Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DABWATERHUBTEST;DAB Water (Test Preview);Italy;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DOMO;DOMO;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;GENESYS;Genesys;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;5;3;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);Spain;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ICASTESTOPS;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ISENTIA;Isentia Pte Limited;Australia;Lyra Health International Ltd;3;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;JABIL;Jabil;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;KOHLER;Kohler;United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;LAPACASTERLLOYD;Acaster Lloyd;United Kingdom;Lyra UK & Ireland Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;LYRAGROUP;Lyra International;Hungary;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;LYRAMENATEST;ICAS MENA (Test Preview);United Arab Emirates;Lyra Health International Ltd (DMCC) Branch (MENA);1;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;MOO002;Moore Cape Town Inc;South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
