MonthDate;CompanyCode;CompanyName;Country;Operation;EventType;SearchTerm;DeviceCategory;ContentType;ContentTitle;DownloadLanguage;Theme;Route;UniqueUsers;DateRange
2026-07-01 00:00:00.000;ABPIE;ABP - Ireland;Ireland;Lyra UK & Ireland Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ABPUK;ABP - UK;United Kingdom;Lyra UK & Ireland Ltd;download;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ABPUK;ABP - UK;United Kingdom;Lyra UK & Ireland Ltd;download;-;Desktop;Infosheet;How to Prioritize Self-care;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ABPUK;ABP - UK;United Kingdom;Lyra UK & Ireland Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ABPUK;ABP - UK;United Kingdom;Lyra UK & Ireland Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;download;-;Desktop;Infosheet;LGBTQIA+ Affirming Care With Lyra;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;download;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;download;-;Desktop;Infosheet;Staying Grounded During Life Changes;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;view;-;Desktop;Infosheet;Staying Grounded During Life Changes;-;Mental wellbeing,Grounding,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;download;-;Desktop;Infosheet;Lyra Wellbeing Hub Service Poster;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;download;-;Desktop;Infosheet;Lyra Wellbeing Hub Guide;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;search;lyra;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;search;Lyra;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;view;-;Desktop;Infosheet;Lyra Wellbeing Hub Service Poster;-;Lyra Wellbeing Services;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;AVANTOR;Avantor;Belgium;Lyra Health International Ltd;download;-;Desktop;undefined;How to Prioritize When Everything Feels Urgent;nl;;News;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;AVANTOR;Avantor;Belgium;Lyra Health International Ltd;download;-;Desktop;undefined;Staying Grounded During Life Changes;nl;;News;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BAS001;BASF Holdings;South Africa;Lyra Southern Africa Pty Ltd;download;-;Desktop;Video;Lyra Wellbeing | Your EAP Service | Briefing Video;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BAS001;BASF Holdings;South Africa;Lyra Southern Africa Pty Ltd;download;-;Desktop;Video;Lyra Wellbeing Reporting Video;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BAS001;BASF Holdings;South Africa;Lyra Southern Africa Pty Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;download;-;Desktop;Video;Mental health support: What happens when you contact Lyra?;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;download;-;Desktop;Video;Mental health support: What happens when you contact Lyra?;en;;DirectEntry;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;view;-;Desktop;Infosheet;How to Prioritize Self-care;-;Self-care,Self-compassion;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;view;-;Desktop;Video;Lyra Wellbeing clinical intake tools: How we track your progress;-;Lyra Wellbeing Services;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;view;-;Desktop;Video;Mental health support: What happens when you contact Lyra?;-;;DirectEntry;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Toolkit;Neurodiversity at Work: A Guide for Managers;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;download;-;Desktop;Infosheet;Helping an Employee Through Substance Use Issues;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;search;parent;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;search;neurod;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;search;neurodiver;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BEIERSDORF;BEIERSDORF;United Kingdom;Lyra Health International Ltd;search;neuro;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;search;summer reset;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;view;-;Desktop;Video;Box Breathing for Stressful Moments;-;Stress;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;view;-;Desktop;Video;Lyra Wellbeing clinical intake tools: How we track your progress;-;Lyra Wellbeing Services;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BLACKSWAN;Black Swan;Hungary;Lyra Health Hungary Kft;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BMKGENETICS;Benchmark Genetics;United States;Lyra Health International Ltd;download;-;Desktop;Video;UK Insights map;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BMKGENETICS;Benchmark Genetics;United States;Lyra Health International Ltd;download;-;Desktop;Infosheet;Clinical Assessment Tools - Measuring the Impact of Your EAP;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BMKGENETICS;Benchmark Genetics;United States;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Infosheet;Staying Grounded During Life Changes;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Video;Box Breathing for Stressful Moments;en;;DirectEntry;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;2;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;breathing;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;urgent;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;box;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;grounded;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;view;-;Desktop;Infosheet;Staying Grounded During Life Changes;-;Mental wellbeing,Grounding,Change;Search;1;2026-07-01 - 2026-07-31
